config_sequence,performance_ratio,score
"[1, 1, 1, 0, 104967, 626, 476, 3653, 2, 1814, 6664]",0.8608719420527539,18897.0
"[1, 1, 1, 0, 106634, 461, 340, 5189, 3, 1437, 6500]",0.8655642111976676,19000.0
"[1, 0, 0, 0, 106646, 834, 289, 2557, 5, 1620, 5517]",0.8344950116167829,18318.0
"[0, 0, 1, 0, 100819, 807, 670, 1843, 3, 1822, 3340]",0.4428955400665118,9722.0
"[0, 0, 1, 0, 116827, 861, 242, 4859, 1, 811, 3530]",0.35606578288005103,7816.0
"[1, 1, 0, 0, 35476, 761, 318, 4921, 8, 1240, 2239]",0.8531729761742062,18728.0
"[0, 0, 1, 1, 67790, 395, 360, 4407, 2, 901, 4899]",0.34176119538973165,7502.0
"[0, 0, 1, 0, 35025, 823, 336, 3725, 1, 1499, 4896]",0.3420800874675413,7509.0
"[0, 0, 1, 0, 66660, 237, 513, 2001, 4, 1859, 6483]",0.41975308641975306,9214.0
"[1, 0, 0, 1, 37769, 437, 386, 3658, 7, 835, 8122]",1.4038084825292698,30815.0
"[0, 0, 1, 0, 51707, 736, 318, 5610, 4, 675, 2841]",0.35397020636873033,7770.0
"[1, 0, 0, 1, 40363, 894, 282, 4645, 0, 870, 7320]",1.425219807753633,31285.0
"[0, 1, 0, 0, 45930, 538, 314, 4017, 1, 1008, 2906]",0.35447132249100266,7781.0
"[0, 0, 0, 0, 32998, 740, 417, 5178, 2, 547, 3594]",0.33223998906655733,7293.0
"[0, 0, 1, 0, 54114, 602, 323, 2308, 1, 604, 7505]",0.42089198669764477,9239.0
"[0, 0, 0, 1, 104998, 551, 446, 2583, 3, 1402, 8170]",0.46685800191335247,10248.0
"[0, 1, 0, 1, 64870, 374, 414, 5824, 5, 725, 5309]",0.3745615233930117,8222.0
"[1, 1, 1, 1, 40713, 463, 520, 2694, 2, 1952, 4881]",1.0170379481572593,22325.0
"[0, 1, 1, 1, 83329, 844, 766, 3317, 7, 1291, 5935]",0.38212382123821237,8388.0
"[1, 1, 1, 1, 40964, 702, 430, 5892, 7, 842, 4863]",0.982643159764931,21570.0
"[0, 1, 1, 1, 110355, 796, 622, 2355, 2, 1699, 2737]",0.47683476834768346,10467.0
"[1, 1, 0, 1, 86911, 532, 796, 2209, 4, 1049, 3377]",0.9970844152885974,21887.0
"[0, 1, 0, 0, 59896, 462, 529, 4836, 5, 961, 3331]",0.3490046011571227,7661.0
"[0, 0, 0, 1, 88763, 253, 230, 3274, 3, 1671, 5671]",0.4234431233201221,9295.0
"[0, 0, 1, 1, 113762, 520, 451, 3950, 5, 762, 8066]",0.3745615233930117,8222.0
"[1, 0, 1, 0, 77794, 506, 282, 5434, 1, 1170, 5571]",1.1674183408500751,25626.0
"[1, 1, 0, 0, 59398, 552, 234, 4267, 4, 1818, 2059]",0.8677964557423352,19049.0
"[1, 0, 1, 1, 106785, 867, 426, 2189, 0, 1276, 7816]",0.9530317525397476,20920.0
"[1, 1, 0, 0, 39704, 500, 268, 4812, 4, 1845, 3631]",0.8267960457382352,18149.0
"[1, 0, 0, 0, 78780, 735, 630, 4925, 3, 1183, 2995]",1.1604938271604939,25474.0
"[1, 1, 1, 1, 56652, 728, 439, 1779, 6, 1176, 7245]",0.988109881098811,21690.0
"[1, 1, 0, 0, 117954, 290, 389, 2878, 5, 1247, 5953]",0.8620108423306455,18922.0
"[0, 0, 1, 0, 99460, 253, 620, 3683, 3, 662, 4002]",0.32905106828846065,7223.0
"[0, 1, 1, 0, 38596, 578, 492, 3852, 2, 1480, 4770]",0.34768347683476836,7632.0
"[0, 1, 1, 1, 37613, 279, 340, 4771, 3, 757, 2310]",0.37164593868160906,8158.0
"[0, 1, 0, 0, 33660, 764, 527, 3003, 0, 924, 5800]",0.38613275021639104,8476.0
"[1, 1, 0, 0, 115023, 652, 274, 3726, 4, 1226, 8057]",0.8740831852762972,19187.0
